NUMERO,DT_EMISSAO,CODCLI,NOME,DESC_MARCA,DESC_LINHA,DESC_COLECAO,DESC_GRUPO,DESC_COORDENADO,PROD,DESC_PROD,COD_EST,NOME_CID,NOME_REP,QTDE,VALOR_LIQ,CUSTO_IND
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,INFANTIL,VERÃO 2027 - VERÃO,CONJ. BLUSA/SHORTS SAIA,LAÇOS 2027,K3450015,CONJ. BLUSA/SHORTS SAIA,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,4,"363,6","37,3492"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,BEBE,VERÃO 2027 - VERÃO,VESTIDO,SONHOS,K1100007,VESTIDO,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,2,"109,35","19,7478"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,PRIMEIROS PASSOS,VERÃO 2027 - VERÃO,SALOPETE/BLUSA,FLOR DO DIA,K2200003,SALOPETE/BLUSA,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"189,675","27,2695"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,INFANTIL,VERÃO 2027 - VERÃO,VESTIDO,PITANGAS,K3100047,VESTIDO,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"336,15","40,3785"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,MENINA ANJO,TEEN,VERÃO 2027 - VERÃO,CONJ. BLUSA/SHORTS SAIA,VICHY,M4450013,CONJ. BLUSA/SHORTS SAIA,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"327,6","42,6623"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,VALENT,PRIMEIROS PASSOS,VERÃO 2027 - VERÃO,CONJ. CAMISETA/BERMUDA,ILHA,V2550046,CONJ. CAMISETA/BERMUDA,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"210,375","27,3933"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,INFANTIL,VERÃO 2027 - VERÃO,CONJ. BLUSA/SHORTS,BLUE,K3500031,CONJ. BLUSA/SHORTS,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"337,95","40,5987"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,BEBE,VERÃO 2027 - VERÃO,CONJ. BODY/SHORTS,BRISA DO MAR VERÃO 27,K1500002,CONJ. BODY/SHORTS,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"210,825","27,4511"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,BEBE,VERÃO 2027 - VERÃO,SALOPETE/BODY,BRISA DO MAR VERÃO 27,K1200004,SALOPETE/BODY,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"220,275","30,9579"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,KIKI,PRIMEIROS PASSOS,VERÃO 2027 - VERÃO,VESTIDO,NATAL 2027,K2100034,VESTIDO,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,4,"278,7","25,104"
78586,15/04/2026,04172,C. KIDS ARTIGOS INFANTIS LTDA - ME,VALENT,BEBE,VERÃO 2027 - VERÃO,CONJ. BODY/BERMUDA,SOLAR,V1550003,CONJ. BODY/BERMUDA,SP,OURINHOS,JOAO NORAIL RIBEIRO ME,3,"192,825","23,1798"
