NUMERO,DT_EMISSAO,CODCLI,NOME,DESC_MARCA,DESC_LINHA,DESC_COLECAO,DESC_GRUPO,DESC_COORDENADO,PROD,DESC_PROD,COD_EST,NOME_CID,NOME_REP,QTDE,VALOR_LIQ,CUSTO_IND
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,BEBE,VERÃO 2026 - PRIMAVERA,CONJ. BODY/SHORTS,NAVY,1500025,CONJ. BODY/SHORTS,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,3,"204,3","25,9125"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,INFANTIL,VERÃO 2026 - PRIMAVERA,CONJ. BLUSA/SHORTS,JARDIM,3500134,CONJ. BLUSA/SHORTS,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,5,"361,5","27,4811"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,MENINA ANJO,TEEN,VERÃO 2026 - PRIMAVERA,CONJ. BLUSA/SHORTS SAIA,MOSAICO,4450072,CONJ. BLUSA/SHORTS SAIA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"339,6","36,6196"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,VALENT,PRIMEIROS PASSOS,VERÃO 2026 - PRIMAVERA,CONJ. CAMISETA/BERMUDA,NÁUTICO,V2550025,CONJ. CAMISETA/BERMUDA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"333,6","31,7559"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,INFANTIL,VERÃO 2026 - PRIMAVERA,CONJ. BLUSA/SHORTS,RARIDADE,3500130,CONJ. BLUSA/SHORTS,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,5,"449,625","36,9717"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,PRIMEIROS PASSOS,VERÃO 2026 - PRIMAVERA,SALOPETE/BLUSA,FOLHAGEM,2200041,SALOPETE/BLUSA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"341,4","35,1354"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,MENINA ANJO,TEEN,VERÃO 2026 - PRIMAVERA,BLUSA,ME GUSTA,4650244,BLUSA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,8,"376,2","20,2839"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,VALENT,PRIMEIROS PASSOS,VERÃO 2026 - PRIMAVERA,CONJ. CAMISA BATA/BERMUDA,BRISA DO MAR,V2550024,CONJ. CAMISA BATA/BERMUDA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"370,2","38,0044"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,PRIMEIROS PASSOS,VERÃO 2026 - PRIMAVERA,BODY,RARIDADE,2650176,BODY,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,6,"282,6","19,359"
69960,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,PRIMEIROS PASSOS,VERÃO 2026 - PRIMAVERA,CONJ. BLUSA/SHORTS,FOLHAGEM,2500124,CONJ. BLUSA/SHORTS,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"298,5","28,4124"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,BEBE,VERÃO 2026 - VERÃO,CONJ. BODY/SHORTS,ANO NOVO,1500029,CONJ. BODY/SHORTS,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,3,"236,7","32,4035"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,MENINA ANJO,TEEN,VERÃO 2026 - VERÃO,CONJ. BLUSA/SHORTS,ÉTNICO,4500096,CONJ. BLUSA/SHORTS,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"338,1","34,7251"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,PRIMEIROS PASSOS,VERÃO 2026 - VERÃO,VESTIDO,ANO NOVO,2100202,VESTIDO,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"366,9","39,564"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,INFANTIL,VERÃO 2026 - VERÃO,CONJ. BLUSA/SHORTS SAIA,INSPIRAÇÃO,3450077,CONJ. BLUSA/SHORTS SAIA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,6,"578,25","41,5657"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,BEBE,VERÃO 2026 - VERÃO,VESTIDO,NATAL,1100070,VESTIDO,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,3,"220,95","28,033"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,INFANTIL,VERÃO 2026 - VERÃO,MACAQUINHO,GEOMÉTRICO,3300028,MACAQUINHO,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,6,"447,75","30,707"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,PRIMEIROS PASSOS,VERÃO 2026 - VERÃO,CONJ. BLUSA/SAIA,AFETO,2400052,CONJ. BLUSA/SAIA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,5,"388,125","31,8747"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,INFANTIL,VERÃO 2026 - VERÃO,VESTIDO,ANO NOVO,3100202,VESTIDO,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"416,1","49,4921"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,INFANTIL,VERÃO 2026 - VERÃO,BLUSA,GEOMÉTRICO,3650179,BLUSA,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"155,4","16,0125"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,PRIMEIROS PASSOS,VERÃO 2026 - VERÃO,CONJ. BLUSA/SHORTS,ANO NOVO,2500127,CONJ. BLUSA/SHORTS,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"309,6","33,3699"
69961,13/05/2025,04730,LOJA PEREIRA SPORT WEAR LTDA.,KIKI,INFANTIL,VERÃO 2026 - VERÃO,VESTIDO,LHAMAS VERÃO,3100205,VESTIDO,SC,MONTE CASTELO,RPN REPRESENTAÇÕES LTDA - ME,4,"444,9","52,484"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,MENINA ANJO,TEEN,VERÃO 2026 - PRIMAVERA,CONJ. BLUSA/SHORTS SAIA,MOSAICO,4450072,CONJ. BLUSA/SHORTS SAIA,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,1,"96,22","36,6196"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,VALENT,PRIMEIROS PASSOS,VERÃO 2026 - PRIMAVERA,CONJ. CAMISETA/BERMUDA,RESORT,V2550003,CONJ. CAMISETA/BERMUDA,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,4,"347,48","31,5072"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,VALENT,PRIMEIROS PASSOS,VERÃO 2026 - PRIMAVERA,CONJ. POLO/BERMUDA,RESORT,V2550013,CONJ. POLO/BERMUDA,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,4,"365,52","34,763"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,KIKI,BEBE,VERÃO 2026 - PRIMAVERA,BODY,CORES EM FLOR,1650052,BODY,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,6,"307,56","18,5882"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,MENINA ANJO,TEEN,VERÃO 2026 - PRIMAVERA,BLUSA,ME GUSTA,4650244,BLUSA,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,2,"106,6","20,2839"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,KIKI,INFANTIL,VERÃO 2026 - PRIMAVERA,CONJ. BLUSA/SHORTS,RARIDADE,3500130,CONJ. BLUSA/SHORTS,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,4,"407,68","36,9717"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,KIKI,BEBE,VERÃO 2026 - PRIMAVERA,SALOPETE/BODY,L´AMAR,1200029,SALOPETE/BODY,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,3,"250,92","30,3224"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,KIKI,INFANTIL,VERÃO 2026 - PRIMAVERA,VESTIDO,RENOVAÇÃO,3100204,VESTIDO,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,4,"402,56","33,788"
69962,13/05/2025,16632,PEQUENINOS MODA INFANTIL LTDA,KIKI,INFANTIL,VERÃO 2026 - PRIMAVERA,VESTIDO MIDI,ÉTNICO,3100185,VESTIDO MIDI,RS,TEUTONIA,RPN REPRESENTAÇÕES LTDA - ME,4,"396,12","33,2429"
