NUMERO,DT_EMISSAO,CODCLI,NOME,DESC_MARCA,DESC_LINHA,DESC_COLECAO,DESC_GRUPO,DESC_COORDENADO,PROD,DESC_PROD,COD_EST,NOME_CID,NOME_REP,QTDE,VALOR_LIQ,CUSTO_IND
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,INFANTIL,INVERNO 2020,VESTIDO INF. FEM.,,5750,VESTIDO INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,4,"245,016","26,9528"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,INFANTIL,INVERNO 2020,CALCA INF. FEM.,,5889,CALCA INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,4,"118,736","12,5385"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2020,VESTIDO INF. FEM.,,3593,VESTIDO INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,4,"176,464","17,3491"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,INFANTIL,INVERNO 2020,VESTIDO INF. FEM.,,5751,VESTIDO INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,4,"320,784","35,1236"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,BEBE,INVERNO 2020,CONJ. BLUSA/CALCA INF. FEM.,,1591,CONJ. BLUSA/CALCA INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,3,"164,082","22,5142"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2020,CONJ. BLUSA/SHORTS SAIA INF.   FEM.,,3626,CONJ. BLUSA/SHORTS SAIA INF.   FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,2,"113,652","22,5986"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,INFANTIL,INVERNO 2020,BLUSA INF. FEM.,,5853,BLUSA INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,4,"136,448","17,6477"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2020,BLUSA INF. FEM.,,3661,BLUSA INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,4,"114,144","12,2679"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,KIKI,INFANTIL,INVERNO 2020,CONJ. BLUSA/CALCA INF. FEM.,,5810,CONJ. BLUSA/CALCA INF. FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,3,"214,758","31,2536"
24727,28/01/2020,01793,MAGAZINE MARTINENSE LTDA,MENINA ANJO,TEEN,INVERNO 2020,MOLETOM FEM.,,7148,MOLETOM FEM.,SP,ITU,PS DA SILVA GOMES REPRESENTACOES,2,"115,128","24,1083"
