NUMERO,DT_EMISSAO,CODCLI,NOME,DESC_MARCA,DESC_LINHA,DESC_COLECAO,DESC_GRUPO,DESC_COORDENADO,PROD,DESC_PROD,COD_EST,NOME_CID,NOME_REP,QTDE,VALOR_LIQ,CUSTO_IND
22719,02/10/2019,08836,CLAUDIA PINHO LOPES,KIKI,INFANTIL,VERAO 2020,BLUSA INF. FEM.,,85011,BLUSA INF. FEM.,SP,VOTORANTIM,PS DA SILVA GOMES REPRESENTACOES,1,"26,3","9,6158"
22719,02/10/2019,08836,CLAUDIA PINHO LOPES,KIKI,PRIMEIROS PASSOS,VERAO 2020,BLUSA INF. FEM.,,3558,BLUSA INF. FEM.,SP,VOTORANTIM,PS DA SILVA GOMES REPRESENTACOES,1,"41,6","15,5954"
22719,02/10/2019,08836,CLAUDIA PINHO LOPES,MENINA ANJO,TEEN,VERAO 2020,BLUSA FEM.,,6997,BLUSA FEM.,SP,VOTORANTIM,PS DA SILVA GOMES REPRESENTACOES,1,"28,9","10,9389"
22719,02/10/2019,08836,CLAUDIA PINHO LOPES,KIKI,BEBE,VERAO 2020,BODY INF. FEM.,,1557,BODY INF. FEM.,SP,VOTORANTIM,PS DA SILVA GOMES REPRESENTACOES,1,"33,7","10,9904"
22719,02/10/2019,08836,CLAUDIA PINHO LOPES,MENINA ANJO,TEEN,VERAO 2020,BLUSA FEM.,,7065,BLUSA FEM.,SP,VOTORANTIM,PS DA SILVA GOMES REPRESENTACOES,1,"41,6","16,5153"
22719,02/10/2019,08836,CLAUDIA PINHO LOPES,KIKI,BEBE,VERAO 2020,VESTIDO INF. FEM.,,1537,VESTIDO INF. FEM.,SP,VOTORANTIM,PS DA SILVA GOMES REPRESENTACOES,1,"42,5","13,8189"
22733,03/10/2019,06311,FAFABELLA CONFECCAO E REPRESENTACAO LTDA - ME,MENINA ANJO,TEEN,VERAO 2020,SHORTS SAIA FEM.,,7024,SHORTS SAIA FEM.,SP,SAO PAULO,FAFABELLA CONFECCOES LTDA - ME,2,"70,6","12,614"
22733,03/10/2019,06311,FAFABELLA CONFECCAO E REPRESENTACAO LTDA - ME,MENINA ANJO,TEEN,VERAO 2020,SAIA FEM.,,7026,SAIA FEM.,SP,SAO PAULO,FAFABELLA CONFECCOES LTDA - ME,1,"33,7","12,9331"
22733,03/10/2019,06311,FAFABELLA CONFECCAO E REPRESENTACAO LTDA - ME,MENINA ANJO,TEEN,VERAO 2020,CONJ. CROPPED/SAIA FEM.,,7038,CONJ. CROPPED/SAIA FEM.,SP,SAO PAULO,FAFABELLA CONFECCOES LTDA - ME,1,"60,9","22,4167"
22733,03/10/2019,06311,FAFABELLA CONFECCAO E REPRESENTACAO LTDA - ME,MENINA ANJO,TEEN,VERAO 2020,CONJ. CROPPED/SHORTS FEM.,,7034,CONJ. CROPPED/SHORTS FEM.,SP,SAO PAULO,FAFABELLA CONFECCOES LTDA - ME,1,"60,1","22,0722"
22733,03/10/2019,06311,FAFABELLA CONFECCAO E REPRESENTACAO LTDA - ME,MENINA ANJO,TEEN,VERAO 2020,BLUSA FEM.,,7002,BLUSA FEM.,SP,SAO PAULO,FAFABELLA CONFECCOES LTDA - ME,1,"36,5","13,339"
22744,03/10/2019,10238,INFANTI CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2020,VESTIDO INF. FEM.,,3499,VESTIDO INF. FEM.,PE,CARUARU,ALMIRELI REPRESENTAÇÃO LTDA,7,"398,16","22,6707"
22744,03/10/2019,10238,INFANTI CONFECCOES LTDA,KIKI,INFANTIL,VERAO 2020,CONJ. BLUSA/SAIA INF. FEM.,,5671,CONJ. BLUSA/SAIA INF. FEM.,PE,CARUARU,ALMIRELI REPRESENTAÇÃO LTDA,4,"262,44","26,2427"
22744,03/10/2019,10238,INFANTI CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2020,CONJ. BLUSA/SAIA INF. FEM.,,3526,CONJ. BLUSA/SAIA INF. FEM.,PE,CARUARU,ALMIRELI REPRESENTAÇÃO LTDA,4,"291,24","30,6351"
22744,03/10/2019,10238,INFANTI CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2020,VESTIDO INF. FEM.,,3506,VESTIDO INF. FEM.,PE,CARUARU,ALMIRELI REPRESENTAÇÃO LTDA,4,"210,96","19,2127"
22744,03/10/2019,10238,INFANTI CONFECCOES LTDA,KIKI,INFANTIL,VERAO 2020,MACAQUINHO INF. FEM.,,5668,MACAQUINHO INF. FEM.,PE,CARUARU,ALMIRELI REPRESENTAÇÃO LTDA,3,"177,93","23,7713"
22744,03/10/2019,10238,INFANTI CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2020,VESTIDO INF. FEM.,,3502,VESTIDO INF. FEM.,PE,CARUARU,ALMIRELI REPRESENTAÇÃO LTDA,4,"226,08","22,6753"
