NUMERO,DT_EMISSAO,CODCLI,NOME,DESC_MARCA,DESC_LINHA,DESC_COLECAO,DESC_GRUPO,DESC_COORDENADO,PROD,DESC_PROD,COD_EST,NOME_CID,NOME_REP,QTDE,VALOR_LIQ,CUSTO_IND
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,FLOR DE LOTUS,2100103,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"297,9","33,4246"
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,FLOR DE LOTUS,3100099,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"376,5","41,7078"
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/SHORTS INF. FEM.,FLOR DE LOTUS,2500057,CONJ. BLUSA/SHORTS INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"329,7","37,5169"
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/SHORTS INF. FEM.,FLOR DE LOTUS,3500064,CONJ. BLUSA/SHORTS INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"348,6","39,1075"
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,FLOR DE LOTUS,3100091,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"386,4","43,1829"
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/SHORTS SAIA INF. FEM.,VELEIROS,3450039,CONJ. BLUSA/SHORTS SAIA INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"364,5","40,4653"
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,ALEGRIA,3100102,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"355,5","39,8857"
53363,25/05/2023,11644,FABIANO MICHETTI LEAL 02702735657,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,CALMA,2100084,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"306,6","30,4861"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,BEBE,VERAO 2024 - PRIMAVERA,CONJ. BODY/CALCA INF. FEM.,LAGOA,1600043,CONJ. BODY/CALCA INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,3,"221,625","32,6089"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/SHORTS SAIA INF. FEM.,LAGOA,2450038,CONJ. BLUSA/SHORTS SAIA INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"311,4","34,9183"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,BEBE,VERAO 2024 - PRIMAVERA,CONJ. BODY/SHORTS INF. FEM.,MERGULHO RELAXANTE,1500011,CONJ. BODY/SHORTS INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,3,"203,175","27,1025"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,MACAQUINHO INF. FEM.,CALMA,3300017,MACAQUINHO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"365,1","40,9288"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/SHORTS INF. FEM.,ALEGRIA,2500062,CONJ. BLUSA/SHORTS INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"305,4","32,9379"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,MENINA ANJO,TEEN,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/CALCA PANTACOURT FEM.,LISTRADO ORANGE,4600030,CONJ. BLUSA/CALCA PANTACOURT FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"334,2","37,4873"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,LAGOA,2100090,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"312,3","34,8276"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/SHORTS INF. FEM.,CALMA,2500052,CONJ. BLUSA/SHORTS INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,7,"529,2","33,9005"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/CALCA PANTACOURT INF. FEM.,FLOR DE LOTUS,3600098,CONJ. BLUSA/CALCA PANTACOURT INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,8,"727,2","40,3781"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,GOTA D AGUA,2100085,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,8,"843,60006","44,4706"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,INFANTIL,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,VELEIROS,3100087,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,8,"724,2","40,6749"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,SALOPETE/BLUSA INF. FEM.,VELEIROS,2200024,SALOPETE/BLUSA INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"306,3","34,1725"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,MENINA ANJO,TEEN,VERAO 2024 - PRIMAVERA,CONJ. BLUSA/SHORTS FEM.,ORANGE LISO,4500037,CONJ. BLUSA/SHORTS FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"322,2","33,6468"
53364,25/05/2023,14958,ADALBERTO GOMES DE ARAUJO MODA INFANTIL LTDA,KIKI,PRIMEIROS PASSOS,VERAO 2024 - PRIMAVERA,VESTIDO INF. FEM.,VELEIROS,2100105,VESTIDO INF. FEM.,MG,SETE LAGOAS,FAFABELLA CONFECCOES LTDA - ME,4,"341,1","36,542"
